mirror_id,x_down,y_right_cam,x,y,z,flat_to_flat,focal_length,phi,r,n_x,n_y,n_z,dist_oa
68,-489.02,462,462,-532.61,44.3855,151,0,5.42691,705.065,-0.0818712,0.0943465,0.992167,672.741
80,-489.02,616,616,-532.61,59.208,151,0,5.57026,814.328,-0.108851,0.0941228,0.989592,786.506
84,-489.02,770,770,-532.61,78.2655,151,0,5.67805,936.255,-0.135662,0.0937623,0.986309,912.16
83,-489.02,924,924,-532.61,101.558,151,0,5.76029,1066.51,-0.162098,0.0934183,0.982343,1045.42
71,-355.65,-1001,-1001,-399.24,103.696,151,0,3.5211,1077.68,0.175488,0.0699655,0.981992,1062.3
75,-355.65,-847,-847,-399.24,78.2859,151,0,3.58206,936.377,0.149174,0.0703121,0.986308,918.637
76,-355.65,-693,-693,-399.24,57.1109,151,0,3.66426,799.776,0.12251,0.0705796,0.989954,778.932
74,-355.65,-539,-539,-399.24,40.1708,151,0,3.77912,670.756,0.095546,0.0707659,0.992906,645.76
82,-355.65,-385,-385,-399.24,27.4659,151,0,3.94515,554.633,0.0684137,0.0709442,0.995131,524.128
72,-355.65,-231,-231,-399.24,18.9958,151,0,4.18785,461.252,0.0410971,0.0710386,0.996627,424.083
73,-355.65,-77,-77,-399.24,14.7608,151,0,4.52186,406.598,0.0137036,0.0710954,0.997375,363.888
70,-355.65,77,77,-399.24,14.7608,151,0,4.90292,406.598,-0.0137242,0.0710954,0.997375,363.888
58,-355.65,231,231,-399.24,18.9958,151,0,5.23692,461.252,-0.0411245,0.0710385,0.996625,424.083
69,-355.65,385,385,-399.24,27.4659,151,0,5.47963,554.633,-0.0684168,0.0709442,0.995131,524.128
67,-355.65,539,539,-399.24,40.1708,151,0,5.64566,670.756,-0.0955881,0.0707656,0.992902,645.76
78,-355.65,693,693,-399.24,57.1109,151,0,5.76052,799.776,-0.122504,0.0705797,0.989955,778.932
79,-355.65,847,847,-399.24,78.2859,151,0,5.84271,936.377,-0.149183,0.070312,0.986306,918.637
77,-355.65,1001,1001,-399.24,103.696,151,0,5.90368,1077.68,-0.175572,0.0699645,0.981977,1062.3
61,-222.28,-924,-924,-265.87,82.5413,151,0,3.42176,961.49,0.162587,0.0467582,0.985586,950.36
62,-222.28,-770,-770,-265.87,59.2488,151,0,3.47406,814.608,0.136076,0.0469902,0.989583,801.441
59,-222.28,-616,-616,-265.87,40.1913,151,0,3.54905,670.927,0.1092,0.0471205,0.992902,654.877
60,-222.28,-462,-462,-265.87,25.3688,151,0,3.66378,533.039,0.0821262,0.0472605,0.995501,512.691
52,-222.28,-308,-308,-265.87,14.7813,151,0,3.85371,406.879,0.0548471,0.0473436,0.997372,379.832
56,-222.28,-154,-154,-265.87,8.42882,151,0,4.18738,307.25,0.0274507,0.0473975,0.998499,270.415
57,-222.28,0,0,-265.87,6.31132,151,0,4.71239,265.87,-1.10508e-05,0.0474123,0.998875,222.28
48,-222.28,154,154,-265.87,8.42882,151,0,5.2374,307.25,-0.0274667,0.0473975,0.998498,270.415
49,-222.28,308,308,-265.87,14.7813,151,0,5.57107,406.879,-0.0548638,0.0473436,0.997371,379.832
55,-222.28,462,462,-265.87,25.3688,151,0,5.76099,533.039,-0.0821314,0.0472605,0.9955,512.691
66,-222.28,616,616,-265.87,40.1913,151,0,5.87573,670.927,-0.109238,0.0471203,0.992898,654.877
64,-222.28,770,770,-265.87,59.2488,151,0,5.95072,814.608,-0.13606,0.0469903,0.989586,801.441
65,-222.28,924,924,-265.87,82.5413,151,0,6.00302,961.49,-0.162654,0.0467577,0.985575,950.36
42,-88.91,-1001,-1001,-132.5,91.0319,151,0,3.2732,1009.73,0.175926,0.0232986,0.984128,1004.94
50,-88.91,-847,-847,-132.5,65.6219,151,0,3.29677,857.301,0.149486,0.0233656,0.988488,851.654
40,-88.91,-693,-693,-132.5,44.4469,151,0,3.33051,705.553,0.122764,0.02346,0.992159,698.68
41,-88.91,-539,-539,-132.5,27.5069,151,0,3.38264,555.047,0.0957791,0.0235438,0.995124,546.284
44,-88.91,-385,-385,-132.5,14.8019,151,0,3.47305,407.162,0.0685587,0.0235881,0.997368,395.133
43,-88.91,-231,-231,-132.5,6.3319,151,0,3.66237,266.303,0.0411952,0.0236258,0.998872,247.52
47,-88.91,-77,-77,-132.5,2.0969,151,0,4.18596,153.249,0.0137353,0.0236423,0.999626,117.619
38,-88.91,77,77,-132.5,2.0969,151,0,5.23882,153.249,-0.0137544,0.0236423,0.999626,117.619
39,-88.91,231,231,-132.5,6.3319,151,0,5.76241,266.303,-0.0412117,0.0236257,0.998871,247.52
37,-88.91,385,385,-132.5,14.8019,151,0,5.95173,407.162,-0.0685793,0.0235881,0.997367,395.133
36,-88.91,539,539,-132.5,27.5069,151,0,6.04214,555.047,-0.0957823,0.0235438,0.995124,546.284
53,-88.91,693,693,-132.5,44.4469,151,0,6.09427,705.553,-0.122794,0.0234599,0.992155,698.68
54,-88.91,847,847,-132.5,65.6219,151,0,6.12801,857.301,-0.14953,0.0233655,0.988481,851.654
46,-88.91,1001,1001,-132.5,91.0319,151,0,6.15158,1009.73,-0.1759,0.0232987,0.984132,1004.94
139,44.46,-924,-924,0.870054,76.2301,151,0,3.14065,924,0.162759,-0.000193645,0.986666,925.069
149,44.46,-770,-770,0.870054,52.9376,151,0,3.14046,770,0.13622,-0.000152106,0.990679,771.282
138,44.46,-616,-616,0.870054,33.8801,151,0,3.14018,616.001,0.109315,-0.000179918,0.994007,617.602
45,44.46,-462,-462,0.870054,19.0576,151,0,3.13971,462.001,0.0822119,-0.000163662,0.996615,464.134
141,44.46,-308,-308,0.870054,8.47007,151,0,3.13877,308.001,0.054912,-0.000160161,0.998491,311.192
140,44.46,-154,-154,0.870054,2.11757,151,0,3.13594,154.002,0.0274802,-0.000164728,0.999622,160.288
34,44.46,154,154,0.870054,2.11757,151,0,0.00564964,154.002,-0.027499,-0.000164728,0.999622,160.288
137,44.46,308,308,0.870054,8.47007,151,0,0.00282484,308.001,-0.054922,-0.000160161,0.998491,311.192
35,44.46,462,462,0.870054,19.0576,151,0,0.00188323,462.001,-0.0822294,-0.000163662,0.996613,464.134
143,44.46,616,616,0.870054,33.8801,151,0,0.00141242,616.001,-0.109366,-0.000179917,0.994002,617.602
133,44.46,770,770,0.870054,52.9376,151,0,0.00112994,770,-0.136217,-0.000152106,0.990679,771.282
144,44.46,924,924,0.870054,76.2301,151,0,0.000941616,924,-0.162838,-0.000193642,0.986653,925.069
161,177.82,-1001,-1001,134.23,91.0731,151,0,3.00829,1009.96,0.175887,-0.0236148,0.984127,1016.67
165,177.82,-847,-847,134.23,65.6631,151,0,2.98442,857.57,0.14952,-0.0236799,0.988475,865.465
150,177.82,-693,-693,134.23,44.4881,151,0,2.95027,705.88,0.122762,-0.0237983,0.992151,715.451
147,177.82,-539,-539,134.23,27.5481,151,0,2.89752,555.463,0.0957769,-0.0238558,0.995117,567.576
151,177.82,-385,-385,134.23,14.8431,151,0,2.80612,407.729,0.0685566,-0.0239183,0.99736,424.083
163,177.82,-231,-231,134.23,6.3731,151,0,2.6152,267.168,0.0411933,-0.0239522,0.998864,291.517
159,177.82,-77,-77,134.23,2.1381,151,0,2.09161,154.747,0.013736,-0.0239693,0.999618,193.779
154,177.82,77,77,134.23,2.1381,151,0,1.04998,154.747,-0.0137535,-0.0239693,0.999618,193.779
155,177.82,231,231,134.23,6.3731,151,0,0.526393,267.168,-0.0412129,-0.0239522,0.998863,291.517
153,177.82,385,385,134.23,14.8431,151,0,0.335471,407.729,-0.0685803,-0.0239182,0.997359,424.083
168,177.82,539,539,134.23,27.5481,151,0,0.244071,555.463,-0.0957831,-0.0238557,0.995116,567.576
170,177.82,693,693,134.23,44.4881,151,0,0.191325,705.88,-0.122795,-0.0237982,0.992147,715.451
178,177.82,847,847,134.23,65.6631,151,0,0.15717,857.57,-0.149494,-0.02368,0.988479,865.465
145,177.82,1001,1001,134.23,91.0731,151,0,0.133301,1009.96,-0.175937,-0.0236146,0.984118,1016.67
162,311.19,-1078,-1078,267.6,110.151,151,0,2.89827,1110.72,0.188795,-0.0469004,0.980896,1122.02
174,311.19,-924,-924,267.6,82.6237,151,0,2.85969,961.97,0.162626,-0.0470875,0.985564,974.996
166,311.19,-770,-770,267.6,59.3312,151,0,2.80712,815.175,0.136041,-0.0473123,0.989573,830.506
148,311.19,-616,-616,267.6,40.2737,151,0,2.73177,671.614,0.109203,-0.0474601,0.992886,690.142
152,311.19,-462,-462,267.6,25.4512,151,0,2.61659,533.904,0.082111,-0.0475867,0.995486,557.032
164,311.19,-308,-308,267.6,14.8637,151,0,2.42627,408.012,0.0548418,-0.0476722,0.997356,437.841
176,311.19,-154,-154,267.6,8.51123,151,0,2.093,308.749,0.0274458,-0.0477257,0.998483,347.212
160,311.19,0,0,267.6,6.39373,151,0,1.5708,267.6,-1.07724e-05,-0.047742,0.99886,311.192
156,311.19,154,154,267.6,8.51123,151,0,1.0486,308.749,-0.0274708,-0.0477257,0.998483,347.212
157,311.19,308,308,267.6,14.8637,151,0,0.715326,408.012,-0.0548674,-0.0476722,0.997355,437.841
169,311.19,462,462,267.6,25.4512,151,0,0.525001,533.904,-0.082144,-0.0475865,0.995484,557.032
171,311.19,616,616,267.6,40.2737,151,0,0.409819,671.614,-0.109231,-0.0474599,0.992883,690.142
179,311.19,770,770,267.6,59.3312,151,0,0.334475,815.175,-0.13609,-0.047312,0.989566,830.506
180,311.19,924,924,267.6,82.6237,151,0,0.281898,961.97,-0.16261,-0.0470876,0.985566,974.996
167,311.19,1078,1078,267.6,110.151,151,0,0.243319,1110.72,-0.188848,-0.0468999,0.980886,1122.02
175,444.56,-1001,-1001,400.97,103.819,151,0,2.7606,1078.32,0.175538,-0.0702975,0.98196,1095.28
181,444.56,-847,-847,400.97,78.4095,151,0,2.69945,937.116,0.149152,-0.0706435,0.986287,956.578
204,444.56,-693,-693,400.97,57.2345,151,0,2.61706,800.641,0.122488,-0.0708971,0.989934,823.336
185,444.56,-539,-539,400.97,40.2945,151,0,2.502,671.787,0.0955624,-0.0710946,0.992881,698.68
202,444.56,-385,-385,400.97,27.5895,151,0,2.33588,555.879,0.0684121,-0.0712533,0.995109,588.097
199,444.56,-231,-231,400.97,19.1195,151,0,2.09346,462.75,0.041096,-0.0713724,0.996603,500.993
177,444.56,-77,-77,400.97,14.8845,151,0,1.76052,408.296,0.0137031,-0.0714227,0.997352,451.179
187,444.56,77,77,400.97,14.8845,151,0,1.38107,408.296,-0.0137241,-0.0714226,0.997352,451.179
173,444.56,231,231,400.97,19.1195,151,0,1.04813,462.75,-0.0411237,-0.0713723,0.996602,500.993
172,444.56,385,385,400.97,27.5895,151,0,0.805714,555.879,-0.0684155,-0.0712533,0.995109,588.097
182,444.56,539,539,400.97,40.2945,151,0,0.639595,671.787,-0.0955672,-0.0710945,0.992881,698.68
184,444.56,693,693,400.97,57.2345,151,0,0.524536,800.641,-0.12252,-0.0708969,0.989931,823.336
183,444.56,847,847,400.97,78.4095,151,0,0.442142,937.116,-0.149198,-0.070643,0.986281,956.578
192,444.56,1001,1001,400.97,103.819,151,0,0.380997,1078.32,-0.175514,-0.0702978,0.981964,1095.28
