# Mirror positions and focal lengths for the LST1 prototype 
# on La Palma, as based on the file newMirrorList.txt provided by LST team,
# reformated to required format by 
#   awk '{ printf "  %8.2f\t  %8.2f\t  %6.2f\t  %8.2f\t    %d\t   0.0\t    #%%  id=%d\n",$1,$2,$3,100.*$4,$5,$6 }'
# 
# Updated on 31/03/19. Two mirrors (IDs 162 and 172) were exchanged for ones with similar focal lengths.
#
# Size and area covered as reported by 'draw_mirrors':
# 198 mirrors are inside a radius of 12.393 m
# Total surface area: 390.98 m**2
# Total projected area: 388.38 m**2
# Center of gravity at x=0.269 m, y=-0.000 m
#
# Columns:
#   1: x pos. [cm] (note: x -> down)
#   2: y pos. [cm] (note: y -> right when looking from camera)
#   3: diameter [cm], flat-to-flat
#   4: focal length [cm] or 0. 
#      Note: positive, no RANDOM_FOCAL_LENGTH based values added in sim_telarray.
#   5: shape code (3)
#   6: z pos. = 0.0 -> will be calculated automatically based on paraboloid
#   #% separator keeping further data as comments.
#   7: mirror number in original list (not used)
#
   -355.65	    385.00	  151.00	   2825.00	    3	   0.0	    #%   136
   -355.65	    539.00	  151.00	   2828.50	    3	   0.0	    #%   135
   -355.65	    693.00	  151.00	   2845.00	    3	   0.0	    #%   134
   -355.65	    847.00	  151.00	   2877.50	    3	   0.0	    #%   133
   -355.65	   1001.00	  151.00	   2900.00	    3	   0.0	    #%   132
   -222.28	   -924.00	  151.00	   2880.00	    3	   0.0	    #%   131
   -222.28	   -770.00	  151.00	   2865.00	    3	   0.0	    #%   130
   -222.28	   -616.00	  151.00	   2837.50	    3	   0.0	    #%   129
   -222.28	   -462.00	  151.00	   2827.50	    3	   0.0	    #%   128
   -222.28	   -308.00	  151.00	   2805.00	    3	   0.0	    #%   127
   -222.28	   -154.00	  151.00	   2802.50	    3	   0.0	    #%   126
   -222.28	      0.00	  151.00	   2800.00	    3	   0.0	    #%   125
   -222.28	    154.00	  151.00	   2800.00	    3	   0.0	    #%   124
   -222.28	    308.00	  151.00	   2807.50	    3	   0.0	    #%   123
   -222.28	    462.00	  151.00	   2825.00	    3	   0.0	    #%   122
   -222.28	    616.00	  151.00	   2837.50	    3	   0.0	    #%   121
   -222.28	    770.00	  151.00	   2852.50	    3	   0.0	    #%   120
   -222.28	    924.00	  151.00	   2880.00	    3	   0.0	    #%   119
    -88.91	  -1001.00	  151.00	   2889.00	    3	   0.0	    #%   118
    -88.91	   -847.00	  151.00	   2872.50	    3	   0.0	    #%   117
    -88.91	   -693.00	  151.00	   2842.50	    3	   0.0	    #%   116
    -88.91	   -539.00	  151.00	   2834.50	    3	   0.0	    #%   115
    -88.91	   -385.00	  151.00	   2810.00	    3	   0.0	    #%   114
    -88.91	   -231.00	  151.00	   2809.50	    3	   0.0	    #%   113
    -88.91	    -77.00	  151.00	   2805.00	    3	   0.0	    #%   112
    -88.91	     77.00	  151.00	   2807.50	    3	   0.0	    #%   111
    -88.91	    231.00	  151.00	   2807.50	    3	   0.0	    #%   110
    -88.91	    385.00	  151.00	   2817.50	    3	   0.0	    #%   109
    -88.91	    539.00	  151.00	   2825.00	    3	   0.0	    #%   108
    -88.91	    693.00	  151.00	   2842.50	    3	   0.0	    #%   107
    -88.91	    847.00	  151.00	   2870.00	    3	   0.0	    #%   106
    -88.91	   1001.00	  151.00	   2891.00	    3	   0.0	    #%   105
     44.46	   -924.00	  151.00	   2880.00	    3	   0.0	    #%   104
     44.46	   -770.00	  151.00	   2852.50	    3	   0.0	    #%   103
     44.46	   -616.00	  151.00	   2837.50	    3	   0.0	    #%   102
     44.46	   -462.00	  151.00	   2820.00	    3	   0.0	    #%   101
     44.46	   -308.00	  151.00	   2800.00	    3	   0.0	    #%   100
     44.46	   -154.00	  151.00	   2800.00	    3	   0.0	    #%   99
     44.46	    154.00	  151.00	   2805.00	    3	   0.0	    #%   98
     44.46	    308.00	  151.00	   2807.50	    3	   0.0	    #%   97
     44.46	    462.00	  151.00	   2817.50	    3	   0.0	    #%   96
     44.46	    616.00	  151.00	   2835.00	    3	   0.0	    #%   95
     44.46	    770.00	  151.00	   2852.50	    3	   0.0	    #%   94
     44.46	    924.00	  151.00	   2885.00	    3	   0.0	    #%   93
    177.82	  -1001.00	  151.00	   2890.00	    3	   0.0	    #%   92
    177.82	   -847.00	  151.00	   2870.00	    3	   0.0	    #%   91
    177.82	   -693.00	  151.00	   2842.50	    3	   0.0	    #%   90
